hind1,hind2,hpair_ind
11,10,965
12,10,966
13,10,967
14,10,968
15,10,969
16,10,970
17,10,971
18,10,972
19,10,973
20,10,974
21,10,975
22,10,976
23,10,977
24,10,978
25,10,979
26,10,980
27,10,981
28,10,982
29,10,983
30,10,984
31,10,985
32,10,986
33,10,987
34,10,988
35,10,989
36,10,990
37,10,991
38,10,992
39,10,993
40,10,994
41,10,995
42,10,996
43,10,997
44,10,998
45,10,999
46,10,1000
47,10,1001
48,10,1002
49,10,1003
50,10,1004
51,10,1005
52,10,1006
53,10,1007
54,10,1008
55,10,1009
56,10,1010
57,10,1011
58,10,1012
59,10,1013
60,10,1014
61,10,1015
62,10,1016
63,10,1017
64,10,1018
65,10,1019
66,10,1020
67,10,1021
68,10,1022
69,10,1023
70,10,1024
71,10,1025
72,10,1026
73,10,1027
74,10,1028
75,10,1029
76,10,1030
77,10,1031
78,10,1032
79,10,1033
80,10,1034
81,10,1035
82,10,1036
83,10,1037
84,10,1038
85,10,1039
86,10,1040
87,10,1041
88,10,1042
89,10,1043
90,10,1044
91,10,1045
92,10,1046
93,10,1047
94,10,1048
95,10,1049
96,10,1050
97,10,1051
98,10,1052
99,10,1053
100,10,1054
101,10,1055
102,10,1056
103,10,1057
104,10,1058
105,10,1059
106,10,1060
107,10,1061
108,10,1062
109,10,1063
110,10,1064
111,10,1065
1,11,11
2,11,121
3,11,230
4,11,338
5,11,445
6,11,551
7,11,656
8,11,760
9,11,863
10,11,965
11,11,1066
12,11,1067
13,11,1068
14,11,1069
15,11,1070
16,11,1071
17,11,1072
18,11,1073
19,11,1074
20,11,1075
21,11,1076
22,11,1077
23,11,1078
24,11,1079
25,11,1080
26,11,1081
27,11,1082
28,11,1083
29,11,1084
30,11,1085
31,11,1086
32,11,1087
33,11,1088
34,11,1089
35,11,1090
36,11,1091
37,11,1092
38,11,1093
39,11,1094
40,11,1095
41,11,1096
42,11,1097
43,11,1098
44,11,1099
45,11,1100
46,11,1101
47,11,1102
48,11,1103
49,11,1104
50,11,1105
51,11,1106
52,11,1107
53,11,1108
54,11,1109
55,11,1110
56,11,1111
57,11,1112
58,11,1113
59,11,1114
60,11,1115
61,11,1116
62,11,1117
63,11,1118
64,11,1119
65,11,1120
66,11,1121
67,11,1122
68,11,1123
69,11,1124
70,11,1125
71,11,1126
72,11,1127
73,11,1128
74,11,1129
75,11,1130
76,11,1131
77,11,1132
78,11,1133
79,11,1134
80,11,1135
81,11,1136
82,11,1137
83,11,1138
84,11,1139
85,11,1140
86,11,1141
87,11,1142
88,11,1143
89,11,1144
90,11,1145
91,11,1146
92,11,1147
93,11,1148
94,11,1149
95,11,1150
96,11,1151
97,11,1152
98,11,1153
99,11,1154
100,11,1155
101,11,1156
102,11,1157
103,11,1158
104,11,1159
105,11,1160
106,11,1161
107,11,1162
108,11,1163
109,11,1164
110,11,1165
111,11,1166
1,12,12
2,12,122
3,12,231
4,12,339
5,12,446
6,12,552
7,12,657
8,12,761
9,12,864
10,12,966
11,12,1067
12,12,1167
13,12,1168
14,12,1169
15,12,1170
16,12,1171
17,12,1172
18,12,1173
19,12,1174
20,12,1175
21,12,1176
22,12,1177
23,12,1178
24,12,1179
25,12,1180
26,12,1181
27,12,1182
28,12,1183
29,12,1184
30,12,1185
31,12,1186
32,12,1187
33,12,1188
34,12,1189
35,12,1190
36,12,1191
37,12,1192
38,12,1193
39,12,1194
40,12,1195
41,12,1196
42,12,1197
43,12,1198
44,12,1199
45,12,1200
46,12,1201
47,12,1202
48,12,1203
49,12,1204
50,12,1205
51,12,1206
52,12,1207
53,12,1208
54,12,1209
55,12,1210
56,12,1211
57,12,1212
58,12,1213
59,12,1214
60,12,1215
61,12,1216
62,12,1217
63,12,1218
64,12,1219
65,12,1220
66,12,1221
67,12,1222
68,12,1223
69,12,1224
70,12,1225
71,12,1226
72,12,1227
73,12,1228
74,12,1229
75,12,1230
76,12,1231
77,12,1232
78,12,1233
79,12,1234
80,12,1235
81,12,1236
82,12,1237
83,12,1238
84,12,1239
85,12,1240
86,12,1241
87,12,1242
88,12,1243
89,12,1244
90,12,1245
91,12,1246
92,12,1247
93,12,1248
94,12,1249
95,12,1250
96,12,1251
97,12,1252
98,12,1253
99,12,1254
100,12,1255
101,12,1256
102,12,1257
103,12,1258
104,12,1259
105,12,1260
106,12,1261
107,12,1262
108,12,1263
109,12,1264
110,12,1265
111,12,1266
1,13,13
2,13,123
3,13,232
4,13,340
5,13,447
6,13,553
7,13,658
8,13,762
9,13,865
10,13,967
11,13,1068
12,13,1168
13,13,1267
14,13,1268
15,13,1269
16,13,1270
17,13,1271
18,13,1272
19,13,1273
20,13,1274
21,13,1275
22,13,1276
23,13,1277
24,13,1278
25,13,1279
26,13,1280
27,13,1281
28,13,1282
29,13,1283
30,13,1284
